method,recall_at_1,recall_at_5,recall_at_10,mrr,median_rank
lexical,0.9266666666666666,1.0,1.0,0.9602222222222224,1.0
dense_text_lexical,0.9133333333333333,0.9933333333333333,1.0,0.9494444444444445,1.0
text_rerank_top30,0.8666666666666667,0.9733333333333334,0.9933333333333333,0.9066005291005289,1.0
mm_text_rerank_top30,0.84,0.96,0.98,0.8942314814814815,1.0
mm_no_rerank,0.7466666666666667,0.94,0.9666666666666667,0.8302063916475682,1.0
dense_text,0.7466666666666667,0.9266666666666666,0.9533333333333334,0.8237420912420912,1.0
