test_id,config,faithfulness,kind
4aca9f5642c12ea8,M_vision,1.0,usable
4c21833078b5508a,B1,0.5,soft
4c21833078b5508a,M,0.4,usable
4c21833078b5508a,M_vision,1.0,usable
4d2083c00f2c7207,M,0.8571428571428571,soft
4d2083c00f2c7207,M_vision,0.42857142857142855,soft
4f0231cf23c94485,B1,1.0,usable
4f0231cf23c94485,M,1.0,usable
4f0231cf23c94485,M_vision,1.0,usable
4fc56eef6e4eb4d7,B1,1.0,soft
4fc56eef6e4eb4d7,M,1.0,soft
556da39750eea302,B1,0.6363636363636364,usable
556da39750eea302,M,0.8181818181818182,usable
556da39750eea302,M_vision,0.8,usable
598b27da8ac1d2b4,M,0.8571428571428571,soft
5bfd52b6f1c5d51e,B1,0.7777777777777778,usable
5bfd52b6f1c5d51e,M,1.0,usable
5bfd52b6f1c5d51e,M_vision,0.8888888888888888,usable
5d01d382e0b0dd32,B1,0.8571428571428571,soft
5f8c1f8b4b5aad93,B1,0.9,usable
5f8c1f8b4b5aad93,M,0.7,usable
5f8c1f8b4b5aad93,M_vision,0.8888888888888888,usable
62b11ba0acb16de1,B1,0.8,soft
62b11ba0acb16de1,M,0.8,soft
62b11ba0acb16de1,M_vision,0.8,soft
62e35783495ea7e3,B1,1.0,usable
62e35783495ea7e3,M,1.0,usable
62e35783495ea7e3,M_vision,1.0,usable
65d84e8b54e956a3,B1,1.0,usable
65d84e8b54e956a3,M,0.9166666666666666,usable
65d84e8b54e956a3,M_vision,0.7,usable
6d829e7bd943bfc0,B1,0.8888888888888888,usable
6d829e7bd943bfc0,M,1.0,usable
6d829e7bd943bfc0,M_vision,1.0,usable
6db4924d15b74dad,B1,0.9090909090909091,usable
6db4924d15b74dad,M,0.9,usable
6db4924d15b74dad,M_vision,0.9090909090909091,usable
6df4022312087f03,B1,0.875,usable
6df4022312087f03,M,1.0,usable
6df4022312087f03,M_vision,0.875,usable
6ee65dab83d5f6b2,B1,1.0,soft
6ee65dab83d5f6b2,M,1.0,soft
6ee65dab83d5f6b2,M_vision,0.6666666666666666,soft
70f1e123950f1784,M,1.0,soft
70f1e123950f1784,M_vision,0.8333333333333334,usable
7682d9936546be96,M,1.0,soft
76a2bffc125b8877,B1,1.0,usable
76a2bffc125b8877,M,0.875,usable
76a2bffc125b8877,M_vision,0.875,usable
779b9fe3740fb93e,B1,0.625,usable
779b9fe3740fb93e,M,0.45454545454545453,usable
779b9fe3740fb93e,M_vision,0.9,usable
793e5ee3388efb36,B1,1.0,soft
793e5ee3388efb36,M,0.875,soft
793e5ee3388efb36,M_vision,1.0,soft
85e667ee1a25ac55,B1,0.7,usable
85e667ee1a25ac55,M,0.7,usable
85e667ee1a25ac55,M_vision,0.7272727272727273,usable
88502391a3952417,B1,1.0,usable
88502391a3952417,M,1.0,usable
88502391a3952417,M_vision,1.0,usable
8b4198ba33bfdb90,B1,0.7,usable
8b4198ba33bfdb90,M,0.9166666666666666,usable
8b4198ba33bfdb90,M_vision,0.9,usable
8d5e3db1b964a373,B1,0.9,usable
8d5e3db1b964a373,M,0.75,usable
8d5e3db1b964a373,M_vision,0.9,usable
92300df29dbcea3e,B1,1.0,soft
92300df29dbcea3e,M,1.0,soft
92300df29dbcea3e,M_vision,1.0,soft
935f5da232d9692b,B1,1.0,usable
935f5da232d9692b,M,0.8,usable
935f5da232d9692b,M_vision,0.8,usable
938ba651334fd224,M_vision,0.625,soft
9447bb643eaf92a8,M,1.0,soft
9447bb643eaf92a8,M_vision,1.0,usable
9bb3a8fb413510c1,B1,1.0,usable
9bb3a8fb413510c1,M,1.0,usable
