config,n_items,n_claims,faithfulness_macro,faithfulness_micro,hallucination_macro,claims_per_summary,tau_gated,hard_refusal,soft_refusal,true_refusal_rate,faithfulness_usable
B0,129,1408.0,0.243,0.245,0.757,10.91,0.0,0.0,0.0,0.0,0.243
B1,125,1219.0,0.9103,0.904,0.0897,9.75,2.0,17.0,36.0,0.3533,0.8996
M,128,1289.0,0.8966,0.8922,0.1034,10.07,5.0,19.0,35.0,0.36,0.8885
M_nocap,126,1230.0,0.9077,0.9016,0.0923,9.76,5.0,20.0,38.0,0.3867,0.8963
B1_vs_M_all,125,,-0.0146,"CI[-0.0380,0.0088]",,,,,,wilcoxon_p=0.2453,
B1_vs_M_usable,90,,-0.015,"CI[-0.0431,0.0125]",,,,,,wilcoxon_p=0.2516,
retrieval_channel_B1_vs_Mnocap,89,,0.0046,"CI[-0.0236,0.0321]",,,,,,wilcoxon_p=0.6402,
caption_channel_Mnocap_vs_M,90,,-0.0118,"CI[-0.0393,0.0135]",,,,,,wilcoxon_p=0.5301,
