cut,comparison,n,mean_difference,ci_low,ci_high
nonhard,M-B1,11,-0.014551105460196364,-0.0752489934308116,0.04385339408066676
nonhard,M-M_nocap,11,-0.049988899988899986,-0.12726162726162726,0.01643772893772888
nonhard,M_vision-M,11,0.16505615596524684,0.03918494384403476,0.3530944055944053
usable,M-B1,9,-0.021151687818354477,-0.0919204869204869,0.05097103513770155
usable,M-M_nocap,9,-0.024060507393840715,-0.08766161307827973,0.030769230769230757
usable,M_vision-M,9,0.20510230510230507,0.056785806785806754,0.4273245273245273
